Aggiudicatari;Importi;Categorie
65;3900;41
95;9902;8
95;19548;18
1;4430;27
244;18781;28
55;4455;10
19;3000;41
53;8197;26
49;14405;15
4;21854;1
45;11190;14
34;62535;12
32;5500;11
31;21347;38
30;114;32
30;363;40
89;9900;10
87;24484;39
84;12506;30
100;7490;12
76;195089;20
75;8200;23
73;152;30
70;300;1
70;650;9
266;5731;12
69;32043;19
45;8900;31
267;627449;34
268;623585;36
269;91200;41
4;15409;8
11;12736;13
270;7500;33
271;4100;4
16;18784;40
18;19470;6
19;6180;39
246;1454;7
33;5736;32
161;1640;29
272;3240;41
271;14950;33
89;3785;30
96;8000;24
28;39438;47
52;36500;22
25;6800;26
273;31500;39
274;11270;18
275;144094;9
275;6475;24
275;32812;11
145;3651;22
70;21226;34
180;5000;19
180;11550;35
119;74321;39
20;96;22
276;1600;24
29;2130;15
61;678312;17
46;14986;29
65;2704;10
277;8750;15
145;1768;33
29;11565;29
278;818;6
50;2645;4
42;2950;22
279;3140;32
280;1300;45
281;1195;46
74;3647;26
282;1200;5
283;500;44
284;960;17
285;3960;43
286;330;14
287;52240;20
288;2645;8
289;2300;8
290;491;25
291;26400;34
37;14990;46
46;13115;48
292;3929;21
276;2250;1
293;13052;28
294;3664;16
52;4990;36
21;7000;46
295;1348;26
281;757;26
296;3200;48
297;1200;20
298;2039;46
29;1800;31
89;690;42
46;20000;18
46;2868;47
278;1300;31
299;585;10
52;9600;19
27;3000;48
29;1341;7
246;5790;38
300;900;38
145;4016;39
301;2469753;10
302;30600;35
37;4082;24
303;10748;11
304;12050;38
305;16452;28
157;16378;7
306;1874;21
307;1800;2
139;305;47
308;2500;32
309;3166;37
52;17250;25
145;18048;3
310;1980;33
276;1250;47
311;750;15
311;1250;31
312;9685;8
145;2639;21
313;2092;30
37;11990;4
314;5000;40
249;6450;16
276;2989;9
249;585;13
147;7230;45
315;10000;28
145;2268;10
276;4600;4
316;600;36
180;750;9
317;5011;10
318;4100;32
158;4740;24
319;790;10
21;15983;14
320;4595;46
321;18000;9
26;1850;3
322;35910;35
323;3360;5
29;3911;22
324;5000;46
37;11998;12
325;4450;44
326;3120;3
327;7300;34
246;16000;18
246;2065;45
91;5300;10
246;30000;14
169;3243;48
21;17000;8
328;107172;43
329;930504;13
147;2569;44
330;6800;21
174;48820;21
98;1218;29
49;2747;29
331;26532;25
332;3732;8
52;3900;48
138;3480;18
333;4088;1
21;4375;43
40;4515;48
334;28688;34
335;38000;10
336;1500;8
276;3650;29
242;1721;20
337;80;7
338;1600;16
144;18000;35
139;1159;21
138;1098;35
145;8292;31
339;9422;36
317;527;25
130;4950;23
177;20550;41
340;6039;38
341;39989;21
341;43891;31
62;474;21
37;7498;1
180;1797;12
342;163;33
343;978;10
344;930;12
15;1276;38
108;914;4
139;1281;4
151;1635;26
345;229;3
346;49281;19
26;4104;3
276;1600;11
347;8000;36
97;8780;30
63;319;16
63;11062;1
29;26300;29
77;6000;15
218;75000;25
348;299239;24
242;10949;36
159;39520;19
226;16173;13
226;78420;11
193;58437;46
193;140160;20
227;21900;25
228;68948;34
193;224256;39
349;13600;9
197;32000;20
196;19000;15
195;83000;8
194;108000;38
226;25000;39
193;26000;30
225;8511;5
236;33000;44
350;4164;24
68;2200;6
83;151056;23
190;33500;9
190;55000;10
82;149213;45
207;36920;40
209;26000;28
159;26000;38
209;13000;43
214;14666;37
210;25000;28
212;7280;4
65;39520;48
190;22880;2
203;28600;34
205;26000;2
351;25000;2
216;32000;41
217;10000;28
215;57000;13
352;5720;38
353;39900;45
133;150241;32
221;18000;40
200;27412;41
354;21250;23
230;17716;29
235;34396;45
192;31500;29
236;27000;2
201;21360;1
355;7000;32
356;14664;32
357;2880;35
358;143952;26
65;20800;3
79;190602;12
48;13000;11
159;205000;23
219;77250;13
213;192698;32
213;98000;36
226;168347;41
226;98350;32
226;58437;4
202;140000;44
237;141000;40
65;280000;46
198;213000;13
359;10000;22
190;40391;4
190;136000;11
359;2400;43
240;7500;11
240;5000;4
237;80000;16
360;29888;35
361;35000;20
134;18916;8
203;58400;16
99;37500;22
50;30592;21
100;10042;27
100;6362;36
39;631;11
101;950;34
240;5000;41
240;7500;39
47;8500;30
172;585;21
136;1147;1
139;1281;46
139;1098;17
362;7514;13
136;987;33
54;2450;27
102;5734;30
66;1300;12
103;30000;41
104;20246;35
17;7388;12
139;1281;26
109;19000;48
363;475;30
111;2090;27
62;1149;33
10;7922;18
115;12280;37
136;1147;7
50;9511;41
15;2459;19
172;878;38
242;1780;30
38;43500;12
114;36500;11
37;12295;47
46;9000;6
67;131450;36
98;1100;39
313;475;46
109;23650;33
118;2982;38
139;1647;40
119;5083;38
13;2700;11
37;14994;25
122;76821;47
127;17100;16
47;2890;20
38;873000;39
21;65573;21
42;1229;5
126;3270;3
94;39030;22
9;4408;19
364;3431;4
130;5800;14
131;98000;41
79;199020;3
83;198040;20
76;196080;48
82;198490;41
132;190200;19
134;192160;45
76;196080;45
133;190200;7
82;198451;44
133;190200;39
77;32674;12
38;836235;15
67;454998;7
15;3967;6
74;63988;45
8;88800;23
105;25552;1
85;54347;11
86;64459;8
65;174600;48
41;6000;36
246;9835;14
246;33033;20
142;116372;1
74;12757;20
29;17450;9
119;7062;3
151;33057;32
46;24699;12
153;709683;36
20;1600;11
24;446159;34
151;30000;1
50;712;47
324;12571;33
365;34426;18
40;14248;27
81;9600;20
90;8850;29
37;24997;26
52;2200;43
81;26963;5
51;2250;24
329;372914;36
166;296700;20
167;39000;8
147;20100;47
78;10000;3
169;3245;5
72;11995;32
337;4957;39
366;2912;23
178;28000;8
179;5365;20
119;29420;20
99;10000;42
71;800;15
23;2532;18
21;8609;6
20;630;38
22;3697;14
246;8826;1
153;90342;31
214;14666;36
217;10000;28
232;5920;23
232;5920;45
193;17693;17
231;8058;39
234;3529;9
234;512;45
203;58400;26
226;12000;36
226;78420;4
226;58437;27
193;58437;24
227;21900;14
190;8687;42
190;40391;45
190;130000;45
212;7280;19
190;22880;40
193;2438;39
236;32000;47
235;100000;28
200;24114;5
199;21452;8
237;80000;39
134;17550;44
236;33000;43
225;8511;10
224;183000;30
209;13000;46
191;200000;5
361;25708;37
209;26000;46
159;26000;23
65;39520;22
65;39520;27
220;22000;47
159;39520;15
65;20800;26
64;9900;20
207;36920;1
205;26000;4
203;28600;32
240;10000;7
240;15000;26
193;131644;37
225;8511;4
224;150000;41
367;264480;10
368;2500;20
89;9900;34
87;24484;28
369;12506;33
100;7490;31
76;195089;15
75;8200;28
151;4098;38
370;539;1
73;152;26
70;300;29
70;650;46
371;6519;15
29;31877;9
88;1850;16
372;3660;22
316;3394;3
133;20560;6
373;2500;40
325;2459;2
374;230009;5
50;1121;5
375;3280;11
49;1620;11
40;16393;31
337;9999;7
376;121752;41
377;16636;18
70;110000;41
378;27276;18
171;72153;15
379;140340;30
380;7700000;39
129;34223;11
141;56061;38
24;505961;34
104;515184;33
145;26378;6
381;394230;22
266;5731;46
37;9989;12
69;32043;15
45;8900;44
267;627449;4
268;623585;24
382;91200;6
377;2570;38
4;15409;36
271;4100;43
54;1492;3
161;1640;18
383;17350;20
264;2455;32
272;3240;18
271;14950;48
384;4996;33
82;5911;2
89;3785;47
96;8000;29
384;3975;42
257;8803;42
52;36500;35
385;5280;2
273;31500;12
244;6800;38
145;43715;19
50;5317;6
386;70541;10
249;200;3
242;744;27
250;20000;42
98;120000;1
315;5000;12
45;7041;27
387;124652;24
388;32096;20
52;18150;31
151;3000;38
389;2665;36
384;4200;27
250;15456;22
390;15840;43
14;1950;12
14;13100;47
14;2868;5
14;2800;3
65;64459;35
14;19021;39
14;2050;1
14;2868;15
14;2800;4
14;13100;22
14;9850;30
65;20265;15
14;11700;19
14;1619;17
65;9883;2
14;3244;3
14;20265;35
14;61475;1
14;181072;4
14;22677;1
14;20265;20
14;3770;23
14;2300;16
14;1100;43
14;39734;2
14;22677;28
14;20265;3
14;3770;20
14;900;9
14;950;30
14;39734;10
391;24399;38
58;10;11
60;1639;11
145;6553;47
179;5593;48
59;3497;39
160;26188;30
364;3000;21
58;7320;28
392;4100;25
393;9000;16
123;1703935;30
56;3900;12
55;4455;38
394;24059;31
92;1744;37
29;40826;3
19;3000;36
20;264;7
20;176;42
20;96;15
395;66990;42
20;176;39
20;528;7
316;4687;47
326;1280;39
53;8197;35
30;8059;29
49;14405;3
4;21854;39
67;160678;33
67;234899;28
45;11190;44
34;62535;26
33;5736;37
32;5500;8
31;21347;45
396;5573770;47
30;114;20
30;363;15
270;7500;6
397;68852;16
244;18781;35
1;4430;47
95;19548;46
95;9902;35
393;1800;5
54;4985;48
65;8264;11
93;23609;21
92;2959;43
398;3200;15
251;7246;45
252;39500;37
246;11417;46
257;9400;17
265;713;24
100;4741;39
100;5711;28
262;3000;2
264;746177;29
79;52459;30
263;38303;37
399;3000;34
257;6967;38
261;252898;41
400;19500;18
260;4953;19
258;51768;9
253;2500;39
256;2800;9
255;2581;23
275;1287;44
28;39438;33
107;500;44
401;2358;26
246;9450;32
246;1454;18
19;6180;42
18;19470;25
16;18784;4
248;105861;27
382;59077;29
382;15652;3
402;4857;32
403;11290;12
138;342;30
76;14390;16
382;10902;47
404;15025;34
405;110811;37
406;261534;16
407;104085;8
361;136427;29
347;8262;27
408;5067;47
147;199995;26
158;1200;16
30;2300;42
246;3571;25
30;3128;10
409;13940;47
100;39885;29
158;950;18
410;1610;23
346;28552;30
411;10802;29
412;212;44
30;1960;29
40;3675;6
49;1960;20
413;2783;38
1;2893;3
151;2050;18
414;876;40
30;1625;22
170;1580;11
37;6479;33
415;9032;10
416;2000;6
46;14964;15
17;9570;42
151;3280;15
417;468216;14
417;1149719;25
342;3472;14
412;7991;36
103;1549;37
139;1967;34
405;13797;20
378;642;8
418;16350;2
419;2000;28
242;1526;2
395;64581;38
52;4399;7
115;17755;7
420;1980;25
145;23832;14
30;6780;11
1;1400;12
64;2868;11
1;1830;36
261;25000;17
421;9900;44
248;3750;32
422;15918750;31
423;1100;14
64;9830;20
424;4850;3
425;41576;21
426;6500;32
293;4452;9
427;4265;2
157;6500;33
428;5700;46
429;263;11
103;1558;30
246;4219;8
17;1370;21
430;332;3
35;367291;17
158;17000;22
431;12550;32
40;3940;37
432;4638;20
386;13813;36
433;144616;25
151;16500;47
434;10009;46
139;920;23
103;1561;16
23;1065;19
370;19500;22
435;17932;26
384;9947;26
436;2510;42
108;30000;18
437;1200;3
438;300;27
439;2575;2
440;1254;41
442;19000;8
443;3060;43
444;17742;9
445;2900;5
149;684;23
139;1150;45
418;10000;41
257;8000;25
446;406070;15
15;1759;11
246;7056;40
